BurialID,SquareID,AreaID,BurialNumber,DateFound,BurialDepth,LengthM,LengthCM,ClusterNumber,SampleNumber,Rack,Shelf,Bag,PreviouslySampled,SexBody,SexGiles,GE_FunctionTotal,SouthToHead,SouthToFeet,EastToHead,EastToFeet,NorthToHead,NorthToFeet,WestToHead,WestToFeet,Description,BasilarSuture,VentralArc,SubPubicAngle,SciaticNotch,PubicBone,PreaurSulcus,MedialIPRamus,DorsalPitting,ForemanMagnum,FemurHead,HumerusHead,Osteophytosis,PubicSymphysis,BoneLength,MedialClavicle,IliacCrest,FemurDiameter,Humerus,FemurLength,HumerusLength,TibiaLength,Robust,SupraorbitalRidges,OrbitEdge,ParietalBossing,Gonian,NuchalCrest,ZygomaticCrest,CranialSuture,MaximumCranialLength,MaximumCranialBreadth,BasionBregmaHeight,BasionNasion,BasionProsthionLength,BizygomaticDiameter,NasionProsthion,MaximumNasalBreadth,decimalerorbitalBreadth,HairColor,PreservationIndex,HairTaken,SoftTissueTaken,BoneTaken,ToothTaken,TextileTaken,DescriptionOfTaken,ArtifactFound,EstimatedAge,AgeMethod,EstimateLivingStature,ToothAttrition,ToothEruption,PathologyAnomalies,EpiphysealUnion,HeadDirection,BYUSample,BodyAnalysisYear,SkullAtMagazine,PostcraniaAtMagazine,ToBeConfirmed,SkullTrauma,PostCraniaTrauma,CribiaOrbitala,PoroticHyperotosis,PoroticHyperotosisLocations,MetopicSuture,ButtonOsteoma,OsteologyUnknownComment,TMJ_OA,LinearHypoplasiaEnamel,AreaHillBurials,Tomb,BurialPreservation,BurialWrapping,BurialAdultChild,GenderCode,BurialGenderMethod,AgeCodeSingle,FaceBundle,DateOnSkull
,0,0,20,,190,,,,46,,,,,Female,Female,890.9264,21,59,156,286,,,,,"bones and skull
 
 Age: 18-24 years",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,176.15,140.44,139.29,100.24,96.56,125.15,77.05,26.95,25.2,Brown,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,9,,90,,,,24,,,,,Female,Female,840.9778,370,370,250,94,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,169.86,134.61,121.82,99.4,94.15,119.1,64.33,23.51,23.77,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,23,,130,,,,65,,,,,Female,Female,836.4952,540,450,290,60,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,170.9,131.34,120.4,93.66,85.86,118.33,63.43,23.55,21.93,Brown,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,1,2/15/00,60,,70,,,,,,,Male,Undetermined,0,237,240,130,72,,,,,"Basket case NO SKULL, NO FEMUR, NO HUMEROUS",,1,1,1,1,1,1,0,,,,,IV,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,FALSE,FALSE,TRUE,FALSE,FALSE,2 Ribs sampled,FALSE,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,10,2/14/00,45,,162,,,,,,,Female,Undetermined,0,429,500,150,0,,,,,"Hair: Auburn
 
 Textile: Black, white, red ribbon criss-crossing outer
 Profuse red at feet
 Black ribbon too fragile to collect
 2 hats on back on head next to hair - open weave w/ border
 
 4 reed sticks under body inside wrap from shoulder to feet - for support?",,3,3,3,3,3,3,0,,39.4,38,Heavy,,,,,,,42,28.5,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Brown,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,,,157.84,V,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,11,2/15/00,22.6,,182,,,,,,,Male,Undetermined,0,191,183,261,100,,,,,"NO SKULL
 
 Textile: Top layer 50cm wide
 0.5cm band without waft on backside 3 coarse layers w/ 15cm fringe - cross wrapping ribbon (was descent) on layer immediately next to skin.",,1,1,1,1,1,1,0,,47.5,,,IV,,,,,,49,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,179.21,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,12,2/14/00,173,,155,,,,,,,Male,Undetermined,0,107,113,291,135,,,,,"NO SKULL
 
 Textile: Well wrapped: extensive 4-strand red ribbon - linen in uniform bunch at head postion - looked like it was a wad
 2 layers then strips crossing: wrap pattern repeated 6 times
 one stick on each side 3 cloth layers up from body
 
 (details for head wrap missing)",,1,1,1,1,1,1,0,,46.5,44,,,,,,,,46,33.3,,0,0,0,0,0,0,0,Closed,0,0,0,0,0,0,0,0,0,,II,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,172.25,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,13,2/14/00,55,,176,,22,,,,,Male,Female,883.0004,447,530,60,-95,,,,,"Hair: Brown / Red
 
 Textile: 34cm x 5cm PURPLE ribbon - 2 bands of PURPLE
 5 sticks under body - each hold together w. coarse cord.",Closed,0,1,1,1,1,1,0,,47.9,45,Moderate,IV,,,,,,47,34.2,39.4,1,0,1,0,1,1,0,,179.6,139.9,123.85,96.84,94.71,127.32,66.16,24.1,23.98,Red,,FALSE,TRUE,TRUE,TRUE,TRUE,Lung,FALSE,,,228.67,III,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,14,2/15/00,160,,160,,,,,,,Male,Undetermined,0,100,110,290,140,,,,,,Closed,1,1,1,1,0,1,0,,44.2,43.5,,IV,,,,,,,,,1,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,Brown,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,15,2/21/00,160,,165,,,,,,,Male,Undetermined,0,75,96,285,125,,,,,"ROMAN PERIOD
 
 Red & white ribbon
 
 Textile: 7 layers + out wrap - twigs & palm sticks associated w/ burial wrapped w/ red & white ribbon
 outer wrap coarse linen - 7 finer woven lineninside - Face bundle = many layers of folded linen wrapped w/ red & white ribbon - linen strap tied w/ thread over nose
 
 Teeth: little chip in #9 - beautifully developed teeth, cavities in 2 back 3rd molars, front right tooth chipped slightly
 
 Comments: Linen folded over feet toward front of body / palm sticks are inside wrappings - 7 layers inside tied w/ 2-3cm wide linen bands - a lot of palm rods inside coarse wrappings - outside - above fine wrapping inside.",Closed,1,1,1,1,0,1,1,,48,50,Slight,,,,,,,,,,1,1,1,1,1,1,1,Closed,0,0,0,0,0,0,0,0,0,Brown,II,FALSE,FALSE,TRUE,TRUE,TRUE,"Rib
 1st molar - 2nd upper molar
 Red & white ribbon / face pack",TRUE,25,,,II,3rd molar,"1 lower incisor crowded & puched inward
 
 Cavities in back 3rd molar - lower jaw",Yes,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,16,2/21/00,75,,172,,,,,,,Male,Undetermined,0,500,485,150,-10,,,,,"ROMAN PERIOD
 
 POORLY PRESERVED/WRAPPED
 
 Flat chin indicates a MALE
 
 Textile: coarse outer wrap - multiple inner wrapping - 14+ coarse outer wraps
 
 Face bundle - not well preserved - many layers in face bundle
 
 Beautiful long ft. / Right foot place over left foot in burial.",Closed,0,0,0,0,0,0,0,,48.5,55,,,,,,,,,,,3,0,1,0,1,1,3,Closed,0,0,0,0,0,0,0,0,0,Brown,IV,FALSE,FALSE,FALSE,TRUE,FALSE,Taking lower right molar & lower left molar,FALSE,35,,,,,"Upper molars lost - periodontal disease#3 / bad absess on lower right mandible
 
 Cavities in molars - all of them.",,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,17,2/16/00,83,,84,,,,,,,Undetermined,Undetermined,0,480,475,145,80,,,,,"BURIED W/ 2 ADULTS (SE#17,18)
 
 Textile: linen w/ PURPLE stripe - PURPLE stripe down length - front - PURPLE stripe goes over the head.",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Brown,III,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,7,,,,1st molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,18,2/21/00,90,,176,,,,,,,Male,Undetermined,0,475,470,160,0,,,,,"ROMAN PERIOD
 
 Hair: Red / Brown
 
 Textile: Face bundle - nice
 BADLY PRESERVED
 
 Hemp rope - face bundle - beautiful hair",Closed,0,0,0,0,0,0,0,,,50,,,,,,,,,,,3,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,Red,IV,FALSE,FALSE,FALSE,TRUE,FALSE,Taking 2nd lower molar & 1 upper 2nd molar,FALSE,30,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,19,2/21/00,51,,56,,,,,,,Undetermined,Undetermined,0,205,205,383,383,,,,,"UNDER PLUNDERED BURIAL - NO HONORS
 ONLY KNEES TO FEET PRESERVED
 
 LINEN WRAPPED - Red & White Ribbon
 
 RIGHT FOOT OVER LEFT FOOT.",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,2,2/21/00,47,,,,,,,,,Undetermined,Undetermined,0,66,0,250,0,,,,,"MISSING PELVIS, MISSING SKULL
 
 MISC. BONES",,0,0,0,0,0,0,0,,45.3,35.7,,,,,,,,45,29,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,165.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,20,2/21/00,70,,198,,,,,,,Undetermined,Undetermined,0,215,240,570,370,,,,,"Palm branches w/ burial - multiple layers - POORLY PRESERVED - TALL PERSON - larvae in cloth & hair - wide pelvic notch - 
 
 Textile: rope around linen - lower body (slide) - salt crystals underneath linen
 
 A lot of dorsal pitting - deep.",,0,3,3,3,0,0,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Brown,IV,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,21,2/21/00,230,,159,,39,,,,,Female,Female,889.0782,130,40,100,-29,,,,,"SKELETON ONLY - NO TEXTILES - BURIED NAKED
 
 not tall.",,0,3,3,3,0,0,0,,46,44,,,,,,,,,,,3,3,3,3,3,3,3,,180.43,143.75,135.15,97.6,91.43,127.17,66.92,24.3,24.41,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,40,,,,,No upper teeth - pre (anti) mortom - periodontal disease (advanced).,,W,,,,,,,,,,,,,,,,,,,,,,,,,
