SquareID,LowPairNS,HighPairNS,LowPairEW,HighPairEW,BurialLocationNS,BurialLocationEW
,140,150,0,10,N,E
,150,160,0,10,N,E
,150,160,0,10,N,W
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,170,180,20,30,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,180,190,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,190,200,40,50,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,200,210,20,30,N,E
,123,123,123,123,NN,EE
,160,170,10,20,N,E
,160,170,10,20,N,E
,123,123,123,123,NN,EE
,30,40,70,80,N,E
,123,123,123,123,NN,EE
,30,40,50,60,N,E
,160,170,10,20,N,E
,160,170,10,20,N,E
